booking_id,booking_date,travel_date,customer_id,cust_segment,tour_type,channel,payment_method,destination,pax,base_price_vnd,discount_rate,booking_status,revenue_vnd,satisfaction,is_returning
B00035,2025-03-10,2025-05-15,C0103,Young Professional,Foodie,Website,Card,Hội An,2,2284000.0,0.75,Completed,4006000.0,5.0,False
B00036,2024-11-10,2024-12-23,C0388,Corporate,Adventure,Mobile App,Card,Sa Pa,1,3482000.0,0.048,Completed,3315000.0,3.9,True
B00037,2024-12-02,2025-01-18,C0031,Family,Foodie,Website,Card,Nha Trang,1,1739000.0,0.186,Completed,1416000.0,4.7,True
B00038,2025-04-09,2025-05-24,C0104,Corporate,City Break,Website,Cash,Đà Nẵng,1,3201000.0,0.086,Completed,2926000.0,4.6,True
B00039,2024-12-07,2025-01-06,C0418,Family,Cultral,Website,Card,Huế,2,4208000.0,0.14,Completed,7238000.0,3.9,False
B00040,2025-01-27,2025-02-16,C0307,Young Professional,Cultural,Website,Bank Transfer,TP.HCM,3,2762000.0,0.169,Completed,6886000.0,4.0,True
B00041,2024-02-23,2024-05-10,C0037,Student,Family,Agent,Card,Huế,3,2382000.0,0.031,Completed,6924000.0,4.7,False
B00042,2025-06-14,2025-07-01,C0317,Young Professional,Foodie,Agent,Card,Sa Pa,1,2563000.0,0.03,Completed,2486000.0,4.3,True
B00043,2024-10-06,2024-11-11,C0408,Family,Cultral,Website,Card,Hạ Long,2,5078000.0,0.123,Cancelled,0.0,,True
B00044,2024-04-06,2024-06-09,C0042,Family,Beach,Agent,Bank Transfer,Sa Pa,1,4308000.0,0.085,Completed,3942000.0,3.4,False
B00045,2025-05-21,2025-06-10,C0174,Corporate,Adventure,Agent,E-wallet,Đà Nẵng,2,3666000.0,0.117,Completed,6474000.0,4.5,True
B00046,2025-04-02,2025-06-04,C0197,Family,Beach,Call Center,Card,Phú Quốc,1,3905000.0,0.051,Completed,3706000.0,4.3,True
B00047,2024-02-03,2024-04-12,C0056,Family,Family,Website,Card,Sa Pa,2,3615000.0,0.101,Completed,6500000.0,4.2,False
B00048,2024-04-30,2024-07-02,C0085,Student,Adventure,Website,Card,Sa Pa,1,3528000.0,0.025,Completed,3440000.0,4.4,True
B00049,2024-01-10,2024-02-13,C0073,Corporate,Family,Mobile App,Card,Đà Nẵng,5,4572000.0,0.14,Completed,19660000.0,4.0,False
B00050,2024-06-17,2024-06-28,C0078,Family,City Break,Agent,Bank Transfer,TP.HCM,1,1849000.0,0.048,Completed,1760000.0,3.9,True
B00051,2024-03-03,2024-05-23,C0170,Corporate,Family,Agent,Card,Đà Lạt,3,2610000.0,0.104,Completed,7016000.0,4.1,False
B00052,2025-03-18,2025-04-23,C0195,Student,Family,Mobile App,E-wallet,Nha Trang,4,2701000.0,0.114,Completed,9572000.0,4.0,True
B00053,2024-11-21,2025-02-04,C0100,Corporate,Family,Website,Cash,Hội An,5,2945000.0,0.153,Completed,12472000.0,5.0,True
B00054,2025-09-02,2025-09-28,C0122,Family,City Break,Agent,Card,Hạ Long,1,2253000.0,0.086,Completed,2059000.0,4.7,True
B00055,2025-04-11,2025-05-04,C0081,Family,City Break,Agent,Bank Transfer,Sa Pa,1,2233000.0,0.074,Completed,2068000.0,3.7,True
B00056,2025-01-15,2025-03-29,C0335,Student,Beach,Website,Card,Phú Quốc,2,4008000.0,0.146,Completed,6846000.0,5.0,True
B00057,2024-11-13,2025-02-07,C0089,Student,Adventure,Mobile App,Bank Transfer,Đà Nẵng,1,5934000.0,0.0,Completed,5934000.0,4.0,True
B00058,2024-02-03,2024-04-22,C0382,Corporate,Beach,Website,Card,Nha Trang,2,4416000.0,0.084,Completed,8090000.0,4.2,False
B00059,2024-02-13,2024-04-23,C0227,Student,City Break,Mobile App,Bank Transfer,Đà Lạt,1,2932000.0,0.051,Cancelled,0.0,,True
B00060,2025-01-18,2025-02-16,C0338,Family,Family,Mobile App,Card,Đà Nẵng,2,3548000.0,0.192,Completed,5734000.0,3.2,True
B00061,2024-01-03,2024-03-26,C0268,Student,Cultural,Agent,Card,Hà Nội,1,2210000.0,0.094,Cancelled,0.0,,False
B00062,2024-01-27,2024-03-31,C0112,Young Professional,Beach,Call Center,Bank Transfer,Đà Lạt,2,4644000.0,0.086,Completed,8489000.0,3.9,False
B00063,2024-05-16,2024-06-08,C0253,Young Professional,Cultural,Website,Card,Đà Nẵng,1,2279000.0,0.058,Completed,2147000.0,4.3,False
B00064,2025-07-04,2025-07-24,C0116,Corporate,Family,Website,Card,Hội An,3,2282000.0,0.036,Completed,6600000.0,4.4,True
B00065,2024-10-12,2024-12-31,C0050,Student,Beach,Website,Bank Transfer,Hà Nội,1,4885000.0,0.044,Completed,4670000.0,4.2,True
B00066,2025-03-18,2025-04-19,C0107,Young Professional,Beach,Website,Card,Đà Nẵng,2,4069000.0,0.126,Completed,7113000.0,4.1,True
B00067,2024-09-13,2024-11-24,C0116,Corporate,City Break,Website,Bank Transfer,Hà Nội,1,2276000.0,0.095,Completed,2060000.0,4.7,True
B00068,2024-04-17,2024-05-08,C0057,Young Professional,Family,Website,Cash,Phú Quốc,4,2936000.0,0.094,Completed,10640000.0,4.4,False
B00069,2024-08-19,2024-09-20,C0010,Young Professional,Beach,Website,Cash,Hội An,2,4156000.0,0.059,Completed,7822000.0,4.2,True
B00070,2024-02-27,2024-03-30,C0397,Family,Cultural,Website,Card,Đà Lạt,1,1795000.0,0.051,Completed,1703000.0,4.3,False
B00071,2025-04-24,2025-05-26,C0216,Family,Foodie,Website,Card,TP.HCM,4,3063000.0,0.124,Completed,10733000.0,5.0,True
B00072,2024-04-24,2024-06-27,C0169,Young Professional,Cultral,Agent,E-wallet,Huế,4,2218000.0,0.072,Completed,8233000.0,4.3,False
B00073,2024-08-22,2024-11-14,C0391,Family,Family,Website,Card,Hội An,3,2034000.0,0.034,Completed,5895000.0,3.9,True
B00074,2025-09-02,2025-11-24,C0095,Young Professional,Cultural,Mobile App,Card,Phú Quốc,1,1702000.0,0.166,Completed,1419000.0,3.2,True
B00075,2025-01-03,2025-03-14,C0170,Corporate,Cultural,Agent,Card,Hội An,1,2719000.0,0.166,Completed,2268000.0,3.5,True
B00076,2024-10-12,2024-11-07,C0356,Young Professional,Beach,Mobile App,Card,Sa Pa,1,4186000.0,0.178,Completed,3441000.0,4.0,True
B00077,2024-12-04,2025-03-01,C0266,Student,Family,Website,Cash,Hạ Long,3,3588000.0,0.138,Completed,9279000.0,4.1,True
B00078,2025-05-03,2025-06-25,C0168,Family,Beach,Website,Bank Transfer,Đà Lạt,3,2643000.0,0.085,Completed,7255000.0,3.9,True
B00079,2024-06-07,2024-07-31,C0108,Young Professional,Beach,Mobile App,Bank Transfer,Phú Quốc,3,4665000.0,0.147,Completed,11938000.0,4.4,False
B00080,2025-01-31,2025-04-07,C0015,Young Professional,Family,Mobile App,Bank Transfer,Đà Nẵng,3,3384000.0,0.102,Completed,9116000.0,3.9,True
B00081,2025-06-27,2025-09-07,C0036,Student,Foodie,Website,Card,Phú Quốc,1,3055000.0,0.057,Completed,2881000.0,3.7,False
B00082,2024-12-22,2025-03-19,C0069,Student,Family,Website,Card,Đà Lạt,2,3265000.0,0.028,Completed,6347000.0,4.5,True
B00083,2024-10-05,2024-12-01,C0331,Family,Cultral,Mobile App,Card,Hà Nội,2,3361000.0,0.13,Completed,5848000.0,4.9,True
B00084,2024-03-31,2024-05-29,C0269,Student,Adventure,Website,Bank Transfer,Huế,1,4778000.0,0.226,Completed,3698000.0,3.6,True
B00085,2024-06-03,2024-08-12,C0183,Young Professional,Cultural,Mobile App,Card,Hạ Long,3,3106000.0,0.023,Completed,9104000.0,4.3,False
B00086,2025-08-12,2025-09-11,C0329,Family,Cultural,Website,Cash,Đà Nẵng,3,2797000.0,0.076,Completed,7753000.0,3.2,True
B00087,2024-12-03,2025-01-06,C0068,Young Professional,Adventure,Website,Card,Huế,1,4633000.0,0.101,Completed,4165000.0,3.5,False
B00088,2024-07-06,2024-09-04,C0089,Student,Cultural,Agent,Bank Transfer,Đà Nẵng,2,1906000.0,0.193,Completed,3076000.0,3.9,False
B00089,2024-09-17,2024-10-02,C0165,Family,Adventure,Website,Bank Transfer,Nha Trang,2,3458000.0,0.043,Completed,6619000.0,4.8,True
B00090,2024-12-26,2025-01-30,C0386,Corporate,City Break,Mobile App,Bank Transfer,Hạ Long,3,3145000.0,-0.2,Completed,9416000.0,3.8,True
B00091,2024-11-30,2025-02-06,C0258,Student,Foodie,Website,Card,Đà Nẵng,1,3244000.0,0.25,Completed,2433000.0,3.8,True
B00092,2025-03-11,2025-06-08,C0358,Family,Beach,Website,E-wallet,Nha Trang,1,4454000.0,0.072,Completed,4133000.0,4.2,True
B00093,2024-06-09,2024-07-31,C0105,Family,Cultural,Agent,Card,Phú Quốc,2,2055000.0,0.078,Completed,3789000.0,4.2,True
B00094,2025-02-08,2025-03-22,C0357,Family,Beach,Website,Card,TP.HCM,1,2744000.0,0.108,Completed,2448000.0,3.8,True
B00095,2024-10-02,2024-11-16,C0031,Family,Cultural,Website,Card,Nha Trang,2,3811000.0,0.148,Completed,6494000.0,5.0,True
B00096,2025-08-08,2025-10-12,C0096,Family,Cultural,Agent,Card,Đà Nẵng,1,2792000.0,0.029,Completed,2711000.0,4.1,True
B00097,2024-04-08,2024-06-01,C0220,Young Professional,Beach,Agent,Cash,Phú Quốc,2,3254000.0,0.026,Completed,6339000.0,4.3,False
B00098,2024-04-02,2024-04-13,C0022,Young Professional,Family,Mobile App,Card,DNang,4,3454000.0,0.126,Completed,12075000.0,4.0,False
B00099,2024-10-14,2024-12-06,C0361,Corporate,Adventure,Website,Card,Đà Nẵng,1,5221000.0,-0.2,Cancelled,0.0,,True
B00100,2024-11-12,2024-12-24,C0365,Family,Foodie,Website,Cash,Phú Quốc,1,2113000.0,0.048,Completed,2012000.0,4.8,True
B00101,2025-03-06,2025-05-11,C0228,Family,Beach,Mobile App,Bank Transfer,TP.HCM,2,3480000.0,0.098,Completed,6278000.0,5.0,True
B00102,2024-09-08,2024-11-27,C0129,Student,Beach,Website,Cash,Nha Trang,1,3523000.0,0.102,Completed,3164000.0,3.8,True
B00103,2025-07-23,2025-10-18,C0042,Family,Cultural,Website,Cash,Phú Quốc,2,2838000.0,0.087,Completed,5182000.0,4.8,True
B00104,2024-10-22,2024-12-20,C0260,Family,Beach,Agent,Card,Sa Pa,2,4953000.0,0.02,Completed,9708000.0,4.5,True
B00105,2024-03-21,2024-04-29,C0226,Corporate,Cultural,Website,Bank Transfer,Hà Nội,1,2233000.0,0.011,Completed,2208000.0,4.7,False
B00106,2024-03-15,2024-04-29,C0320,Corporate,Foodie,Website,Card,Hạ Long,3,3582000.0,0.129,Completed,9360000.0,4.2,True
B00107,2025-08-29,2025-09-22,C0254,Young Professional,Beach,Website,Card,Phú Quốc,2,4430000.0,0.102,Completed,7956000.0,4.1,True
B00108,2024-03-24,2024-06-17,C0054,Family,Beach,Website,Card,Đà Lạt,2,2629000.0,0.005,Completed,5232000.0,4.7,False
B00109,2025-08-13,2025-10-30,C0052,Student,Adventure,Mobile App,Cash,Sa Pa,1,4313000.0,0.124,Completed,3778000.0,4.7,True
B00110,2024-06-22,2024-09-09,C0328,Young Professional,Adventure,Agent,Card,Sa Pa,1,3031000.0,0.102,Completed,2722000.0,5.0,False
B00111,2024-02-28,2024-04-04,C0067,Family,Adventure,Website,Cash,Hội An,1,3179000.0,0.092,Completed,2887000.0,4.3,False
B00112,2024-07-08,2024-08-13,C0395,Student,Cultral,Website,Card,Hội An,3,2728000.0,0.0,Completed,8184000.0,4.1,True
B00112,2024-07-08,2024-08-13,C0395,Student,Cultral,Website,Card,Hội An,3,2728000.0,0.0,Completed,8184000.0,4.1,True
B00113,2025-01-17,2025-04-06,C0045,Family,City Break,Mobile App,Card,Sa Pa,3,2519000.0,0.161,Completed,6340000.0,3.0,True
B00114,2024-09-23,2024-11-16,C0306,Young Professional,Beach,Website,Card,Huế,3,4930000.0,0.046,Completed,14110000.0,3.4,False
B00115,2025-05-04,2025-07-10,C0410,Corporate,Cultural,Mobile App,Card,Hội An,1,3085000.0,0.063,Completed,2891000.0,4.0,True
B00116,2025-01-15,2025-03-05,C0186,Family,Family,Agent,Card,Sa Pa,3,2449000.0,0.072,Completed,6818000.0,3.6,True
B00117,2024-09-06,2024-10-21,C0024,Corporate,City Break,Mobile App,Cash,Sa Pa,2,1850000.0,0.097,Completed,3341000.0,4.6,True
B00118,2025-01-30,2025-04-01,C0369,Young Professional,Cultural,Website,Card,Hạ Long,2,3906000.0,0.189,Completed,6336000.0,3.5,False
B00119,2025-08-28,2025-11-11,C0079,Family,Adventure,Call Center,Card,Huế,1,5610000.0,0.152,Completed,4757000.0,3.9,True
B00120,2024-09-13,2024-10-20,C0222,Young Professional,Beach,Website,Cash,TP.HCM,3,3079000.0,0.188,Completed,7500000.0,4.0,True
B00121,2024-04-05,2024-06-19,C0414,Corporate,Beach,Agent,Card,TP.HCM,1,3304000.0,0.073,Completed,3063000.0,4.8,False
B00122,2024-09-11,2024-10-10,C0313,Young Professional,Beach,Mobile App,Card,Hội An,1,3716000.0,0.144,Cancelled,0.0,,True
B00123,2025-06-07,2025-07-19,C0020,Family,Family,Mobile App,Card,Nha Trang,5,3681000.0,0.0,Completed,18405000.0,4.4,True
B00124,2024-05-15,2024-08-06,C0345,Family,Cultural,Agent,Card,Hội An,1,2569000.0,0.047,Completed,2448000.0,4.3,False
B00125,2025-08-14,2025-11-09,C0068,Young Professional,Family,Mobile App,Card,Sa Pa,3,3448000.0,0.107,Completed,9237000.0,4.7,True
B00126,2025-01-01,2025-03-26,C0315,Young Professional,Beach,Website,Cash,Huế,2,2963000.0,0.193,Completed,4782000.0,4.6,True
B00127,2025-01-09,2025-02-13,C0261,Student,City Break,Website,Card,Nha Trang,4,1630000.0,0.09,Completed,5933000.0,4.2,True
B00128,2024-07-16,2024-10-02,C0121,Family,City Break,Mobile App,Bank Transfer,Phú Quốc,1,2336000.0,0.136,Completed,2018000.0,3.4,True
B00129,2025-07-27,2025-10-20,C0178,Corporate,Beach,Mobile App,Card,TP.HCM,2,3752000.0,0.134,Completed,6498000.0,4.1,True
B00130,2024-01-23,2024-04-21,C0050,Student,Beach,Website,Cash,Hội An,1,2906000.0,0.189,Completed,2357000.0,4.2,False
B00131,2024-07-05,2024-07-16,C0415,Student,Beach,Agent,Bank Transfer,Hà Nội,1,4624000.0,0.055,Completed,4370000.0,4.3,True
B00132,2024-09-17,2024-11-26,C0101,Corporate,City Break,Mobile App,Card,Nha Trang,1,2838000.0,0.17,Completed,2356000.0,3.8,False
B00133,2024-10-24,2025-01-22,C0130,Family,Cultural,Website,Card,Hội An,2,2928000.0,0.018,Completed,5751000.0,4.8,True
B00134,2024-10-22,2025-01-01,C0212,Family,Adventure,Website,Card,Sa Pa,1,5459000.0,0.023,Completed,5333000.0,4.2,True
B00135,2024-04-02,2024-04-30,C0283,Young Professional,Cultural,Website,E-wallet,Phú Quốc,1,2486000.0,0.0,Completed,2486000.0,3.7,False
B00136,2024-05-20,2024-07-30,C0213,Student,City Break,Website,E-wallet,Đà Lạt,2,2876000.0,0.091,Completed,5229000.0,4.0,True
B00137,2024-02-29,2024-03-18,C0213,Student,Adventure,Website,Card,Hà Nội,2,4188000.0,0.16,Completed,7036000.0,5.0,True
B00138,2024-12-22,2025-02-08,C0245,Family,Adventure,Website,Bank Transfer,TP.HCM,2,4083000.0,0.174,Completed,6745000.0,4.5,True
B00139,2024-08-06,2024-10-05,C0361,Corporate,Foodie,Website,Card,Huế,3,2623000.0,0.079,Completed,7247000.0,4.7,False
B00140,2024-12-18,2025-02-02,C0166,Young Professional,Beach,Website,Card,Huế,1,4181000.0,0.086,Completed,3821000.0,3.7,True
B00141,2025-01-02,2025-03-09,C0350,Student,City Break,Mobile App,Cash,Đà Lạt,1,2533000.0,0.113,Completed,2247000.0,3.9,True
B00142,2025-03-13,2025-04-11,C0331,Family,Beach,Website,Card,Đà Nẵng,1,5894000.0,0.207,Completed,4674000.0,3.9,True
B00143,2024-12-06,2025-02-03,C0404,Student,Adventure,Call Center,Card,Nha Trang,2,-100000.0,0.222,Cancelled,0.0,,True
B00144,2025-02-07,2025-04-10,C0384,Young Professional,City Break,Agent,Bank Transfer,Phú Quốc,1,2034000.0,0.168,Completed,1692000.0,4.1,True
B00145,2024-12-31,2025-03-02,C0336,Family,Family,Mobile App,Card,Đà Lạt,3,3856000.0,0.14,Completed,9948000.0,4.0,True
B00146,2025-02-10,2025-03-15,C0104,Corporate,Family,Call Center,Cash,Hà Nội,2,3069000.0,0.2,Completed,4910000.0,4.0,True
B00147,2025-01-19,2025-02-22,C0326,Family,Cultural,Agent,Card,Đà Lạt,1,2304000.0,0.105,Completed,2062000.0,3.8,True
B00148,2024-07-16,2024-08-15,C0310,Student,Cultural,Website,Card,Đà Nẵng,4,1957000.0,0.044,Completed,7484000.0,4.1,False
B00149,2024-06-02,2024-07-19,C0122,Family,Cultural,Agent,Card,,2,2901000.0,0.055,Completed,5483000.0,4.8,False
B00150,2025-05-05,2025-07-01,C0285,Family,Adventure,Website,E-wallet,TP.HCM,1,4212000.0,0.021,Cancelled,0.0,,True
B00151,2024-08-01,2024-09-09,C0107,Young Professional,Adventure,Mobile App,Card,Phú Quốc,2,4792000.0,0.109,Completed,8539000.0,4.4,False
B00152,2024-12-08,2025-01-20,C0220,Young Professional,Cultural,Mobile App,Card,Hội An,2,1624000.0,0.053,Cancelled,0.0,,True
B00153,2024-05-02,2024-06-04,C0335,Student,Cultural,Website,Cash,Đà Nẵng,1,2228000.0,0.101,Completed,2003000.0,4.1,False
B00154,2024-09-25,2024-10-22,C0080,Family,Cultural,Website,E-wallet,Hội An,1,1554000.0,0.153,Cancelled,0.0,,True
B00155,2024-11-25,2025-01-27,C0142,Young Professional,Cultural,Call Center,E-wallet,Nha Trang,2,3434000.0,0.206,Completed,5453000.0,4.7,True
B00156,2025-01-25,2025-04-11,C0334,Corporate,Beach,Website,Cash,Sa Pa,1,2881000.0,0.022,Completed,2818000.0,3.7,True
B00157,2024-11-23,2024-12-26,C0191,Corporate,City Break,Website,Card,Huế,2,1861000.0,0.136,Completed,3216000.0,4.2,True
B00158,2024-08-12,2024-10-30,C0404,Student,Family,Website,Cash,TP.HCM,3,3472000.0,0.026,Completed,10145000.0,3.7,True
B00159,2025-08-22,2025-10-17,C0004,Family,Beach,Mobile App,Bank Transfer,Hạ Long,2,2995000.0,0.048,Completed,5702000.0,3.3,True
B00160,2024-11-15,2024-12-08,C0304,Young Professional,Family,Agent,Bank Transfer,Phú Quốc,5,3097000.0,0.035,Completed,14943000.0,4.1,True
B00161,2025-05-18,2025-06-26,C0342,Corporate,City Break,Agent,Bank Transfer,Phú Quốc,2,2108000.0,0.112,Completed,3744000.0,3.6,False
B00162,2025-04-03,2025-04-13,C0386,Corporate,Cultural,Website,Card,Đà Lạt,2,1941000.0,0.134,Completed,3362000.0,4.2,True
B00163,2024-12-13,2024-12-26,C0066,Family,Beach,Website,Card,Đà Lạt,1,2662000.0,0.05,Completed,2529000.0,4.8,True
B00164,2025-07-06,2025-08-12,C0414,Corporate,Beach,Website,Cash,Hà Nội,2,2788000.0,0.028,Completed,5420000.0,5.0,True
B00165,2024-03-20,2024-05-05,C0165,Family,Beach,Mobile App,Card,Huế,3,4658000.0,0.037,Completed,13457000.0,4.2,False
B00166,2025-07-27,2025-10-09,C0148,Young Professional,Family,Agent,Card,Hội An,5,2402000.0,0.188,Completed,9752000.0,4.7,True
B00167,2025-06-13,2025-07-03,C0150,Student,Foodie,Agent,Card,Đà Lạt,3,2784000.0,0.092,Completed,7584000.0,4.4,True
B00168,2024-11-09,2025-01-25,C0269,Student,Beach,Website,Cash,Hội An,1,4899000.0,0.201,Completed,3914000.0,4.0,True
B00169,2025-04-01,2025-04-29,C0277,Young Professional,Family,Mobile App,Bank Transfer,Hà Nội,4,3225000.0,0.144,Completed,11042000.0,3.2,True
B00170,2024-11-20,2024-12-11,C0200,Young Professional,Beach,Website,Bank Transfer,TP.HCM,3,4533000.0,0.0,Cancelled,0.0,,True
B00171,2024-06-16,2024-08-21,C0030,Family,Adventure,Mobile App,Bank Transfer,Phú Quốc,2,4966000.0,0.01,Completed,9833000.0,3.7,True
B00172,2025-05-13,2025-07-24,C0415,Student,Family,Mobile App,Bank Transfer,Nha Trang,4,3778000.0,0.079,Completed,13918000.0,4.9,True
B00173,2024-06-02,2024-07-30,C0094,Young Professional,Cultural,Mobile App,Bank Transfer,,2,2476000.0,0.045,Completed,4729000.0,4.5,True
B00174,2024-07-14,2024-08-02,C0040,Family,Beach,Mobile App,Card,Phú Quốc,2,3361000.0,0.038,Cancelled,0.0,,True
B00175,2024-11-19,2024-12-08,C0251,Family,Adventure,Agent,Cash,Hội An,1,4991000.0,0.016,Completed,4911000.0,4.4,False
B00176,2025-06-05,2025-07-16,C0174,Corporate,Foodie,Website,Card,Hạ Long,1,3285000.0,0.098,Completed,2963000.0,5.0,True
B00177,2024-08-27,2024-10-12,C0259,Student,Cultural,Website,Card,Hà Nội,3,2464000.0,0.147,Completed,6305000.0,5.0,False
B00178,2024-11-03,2025-02-01,C0368,Family,Beach,Website,Card,Phú Quốc,3,3911000.0,0.15,Completed,9973000.0,3.9,False
B00179,2024-01-26,2024-02-28,C0041,Young Professional,Beach,Mobile App,Bank Transfer,Phú Quốc,3,4900000.0,0.082,Completed,13495000.0,3.8,False
B00180,2024-03-13,2024-04-07,C0120,Family,Adventure,Mobile App,Bank Transfer,Đà Nẵng,1,4281000.0,0.131,Completed,3720000.0,4.3,True
B00181,2024-02-04,2024-04-30,C0217,Student,Adventure,Mobile App,E-wallet,TP.HCM,1,5820000.0,0.04,Completed,5587000.0,4.1,False
B00182,2024-02-14,2024-03-07,C0331,Family,City Break,Agent,E-wallet,Đà Nẵng,1,1922000.0,0.112,Completed,1707000.0,4.8,False
B00183,2025-06-25,2025-07-07,C0253,Young Professional,Family,Website,Bank Transfer,TP.HCM,4,3987000.0,0.0,Completed,15948000.0,4.6,True
B00184,2025-06-08,2025-07-22,C0161,Student,City Break,Mobile App,Card,Hội An,2,1383000.0,0.0,Completed,2766000.0,3.4,True
B00185,2025-05-27,2025-07-08,C0257,Family,City Break,Agent,Bank Transfer,TP.HCM,4,2262000.0,0.047,Completed,8623000.0,4.4,True
B00186,2024-02-04,2024-04-04,C0412,Family,Cultral,Website,Bank Transfer,Phú Quốc,1,1668000.0,0.263,Completed,1229000.0,4.1,False
